round,domain,model_id,alpha,beta,tau_hat
1,general,groq-llama3-8b,1.85,0.85,0.6851851851851851
2,general,groq-llama3-8b,2.5725,0.7224999999999999,0.7807283763277693
3,general,groq-llama3-8b,3.186625,0.6141249999999999,0.8384200486746037
4,general,groq-llama3-8b,3.70863125,0.5220062499999999,0.8766128627186802
5,general,groq-llama3-8b,4.1523365625,0.4437053124999999,0.9034592537301459
6,general,groq-llama3-8b,4.529486078125,0.3771495156249999,0.9231348021635422
7,general,groq-llama3-8b,4.85006316640625,0.32057708828124987,0.9380005042913927
8,general,groq-llama3-8b,5.1225536914453125,0.2724905250390624,0.9494924389671401
9,general,groq-llama3-8b,5.354170637728515,0.23161694628320303,0.9585345946655467
10,general,groq-llama3-8b,5.551045042069238,0.19687440434072256,0.9657485797815614
11,general,groq-llama3-8b,5.718388285758852,0.16734324368961417,0.971567978788646
12,general,groq-llama3-8b,5.860630042895024,0.14224175713617204,0.9763043819900614
13,general,groq-llama3-8b,5.98153553646077,0.12090549356574623,0.9801873556875288
14,general,groq-llama3-8b,6.0843052059916545,0.10276966953088429,0.9833896192306538
15,general,groq-llama3-8b,6.171659425092906,0.08735421910125164,0.9860434528398447
16,general,groq-llama3-8b,6.24591051132897,0.0742510862360639,0.9882517108004532
17,general,groq-llama3-8b,6.309023934629624,0.06311342330065431,0.9900954075915974
18,general,groq-llama3-8b,6.36267034443518,0.05364640980555616,0.9916390646128715
19,general,groq-llama3-8b,6.408269792769903,0.045599448334722736,0.9929345565224191
20,general,groq-llama3-8b,6.447029323854418,0.038759531084514326,0.9940239295556162